district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,14,"– 12,8",76,51.1,30323
Friedrichshain-Kreuzberg,3,4,– 1,6.8,4183
Pankow,13,9.6,13,9.6,4438
Charlottenburg-Wilmersdorf,18,"– 19,5",25,34.3,6687
Spandau,7,0.5,11,16.5,4230
Steglitz-Zehlendorf,5,2.7,1,0.2,1264
Tempelhof-Schöneberg,7,7.9,15,10.5,8735
Neukölln,–,–,–,–,–
Treptow-Köpenick,12,"– 1,1",– 2,2.4,1970
Marzahn-Hellersdorf,10,"– 1,4",4,4.9,1319
Lichtenberg,4,1.5,5,4.9,1522
Reinickendorf,7,"– 5,5",–,2.8,2614
