district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,19,234.3,98,71.4,162430
Friedrichshain-Kreuzberg,3,4,– 1,6.8,4183
Pankow,20,11.5,36,26.7,9326
Charlottenburg-Wilmersdorf,21,"– 4,0",34,43.4,10683
Spandau,20,20.9,95,89.9,22659
Steglitz-Zehlendorf,8,5.5,19,12.7,5237
Tempelhof-Schöneberg,11,74.9,15,10.5,39238
Neukölln,–,–,–,–,–
Treptow-Köpenick,42,305.6,210,121.7,104648
Marzahn-Hellersdorf,36,17.6,55,65.9,22463
Lichtenberg,33,15.2,505,321.7,91102
Reinickendorf,16,"– 2,0",14,19.3,7057
