id,measures,volume,usage_area,apartments,living_area
01,–,–,–,–,–
02,–,–,–,–,–
03,6,75,178.3,–,–
04,1,19,39.7,–,–
05,2,11,16.8,12,4.3
06,1,1,4.2,–,–
07,1,8,16.2,–,–
08,1,140,309.5,–,–
09,3,29,37.5,–,–
10,2,18,19,–,–
11,1,15,28.3,–,–
12,–,–,–,–,–
