district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,2,14,13.5,98,23.9,770
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,15,23,3.4,62,53.1,12114
Charlottenburg-Wilmersdorf,1,5,0.2,4,6.5,1909
Spandau,5,7,4.4,41,15.4,3104
Steglitz-Zehlendorf,4,9,8.1,18,18.4,5369
Tempelhof-Schöneberg,11,39,20.5,92,69.8,13440
Neukölln,5,3,1.5,5,6.4,1544
Treptow-Köpenick,4,16,8.9,108,30.3,9706
Marzahn-Hellersdorf,9,20,15.7,40,39.3,9664
Lichtenberg,1,1,0.1,1,1,289
Reinickendorf,5,7,2.9,15,12.6,5755
