district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,7,27.2,97,26.7,10212
Friedrichshain-Kreuzberg,9,13.8,75,39.4,35898
Pankow,25,5.2,73,62.6,17054
Charlottenburg-Wilmersdorf,5,"– 1,1",14,15.3,4626
Spandau,14,90.5,76,25.9,49855
Steglitz-Zehlendorf,6,8.1,18,20.1,5579
Tempelhof-Schöneberg,17,28.5,116,85.1,69139
Neukölln,10,3.5,5,6.8,26487
Treptow-Köpenick,5,10.8,108,30.3,10571
Marzahn-Hellersdorf,13,64.2,40,40.1,14669
Lichtenberg,6,284.2,3,1.7,78641
Reinickendorf,11,20.9,20,17.5,14340
