id,measures,usage_area,apartments,living_area,estimated_costs
01,11,53.9,132,91.2,42176
02,13,585.4,190,128.2,250503
03,35,84.8,150,133.2,55999
04,17,257.2,18,30.9,99399
05,15,700.1,9,8.2,166716
06,37,78.3,63,81.9,45869
07,40,237.2,169,136.7,109185
08,24,157.1,197,123.2,49276
09,48,345.5,680,473.6,169236
10,30,68.9,191,127.1,60798
11,10,120.7,210,46.1,47271
12,27,182.2,134,110.0,40411
