district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,3,18,1.1,27,29.9,7904
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,15,41,14.6,77,73.9,16716
Charlottenburg-Wilmersdorf,3,20,–,37,36.3,9099
Spandau,3,116,61.7,111,65.9,16295
Steglitz-Zehlendorf,4,16,6.3,29,33.7,9086
Tempelhof-Schöneberg,9,50,4.8,130,100.9,20982
Neukölln,57,290,121.7,963,555.6,133238
Treptow-Köpenick,17,38,32.3,110,78.2,14638
Marzahn-Hellersdorf,17,14,6.7,19,27.1,6111
Lichtenberg,14,160,11,741,292.3,62296
Reinickendorf,5,17,14.4,33,31.5,8986
