district_name,measures,volume,usage_area,apartments,living_area
Mitte,–,–,–,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,1,84,139.4,–,–
Charlottenburg-Wilmersdorf,1,1,3.1,–,–
Spandau,2,46,58.5,–,–
Steglitz-Zehlendorf,1,1,2,–,–
Tempelhof-Schöneberg,1,1,1.3,–,–
Neukölln,2,230,546.8,–,–
Treptow-Köpenick,4,38,43,–,–
Marzahn-Hellersdorf,1,21,34.8,–,–
Lichtenberg,–,–,–,–,–
Reinickendorf,4,55,93.2,–,–
