district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,–,–,–,–,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,12,16,10.3,34,35.1,7557
Charlottenburg-Wilmersdorf,8,84,18.9,196,158.5,44157
Spandau,3,2,1.4,3,4.8,943
Steglitz-Zehlendorf,6,19,7.6,32,38.5,12857
Tempelhof-Schöneberg,–,–,–,–,–,–
Neukölln,8,18,11.4,39,31.5,10131
Treptow-Köpenick,24,39,14.6,131,83.8,24624
Marzahn-Hellersdorf,16,61,6.7,191,130.6,31808
Lichtenberg,–,–,–,–,–,–
Reinickendorf,12,29,13.2,109,52.3,20165
