district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,5,"– 1,6",10,8.1,4305
Friedrichshain-Kreuzberg,1,20,–,–,4000
Pankow,21,146.8,41,44.3,55353
Charlottenburg-Wilmersdorf,13,23,198,160.7,46031
Spandau,14,62.7,3,21,31289
Steglitz-Zehlendorf,18,19.3,34,42.4,28247
Tempelhof-Schöneberg,29,"– 0,4",54,24,8535
Neukölln,27,587.6,97,61.6,112250
Treptow-Köpenick,46,53.6,134,94.2,43797
Marzahn-Hellersdorf,21,41.6,191,131.8,47849
Lichtenberg,4,3.9,– 1,0.2,4319
Reinickendorf,22,107.4,113,55.1,36897
