id,measures,volume,usage_area,apartments,living_area
01,1,1,1.7,–,–
02,1,104,99.2,375,73.7
03,3,23,30.9,–,–
04,2,13,25.3,–,–
05,–,–,–,–,–
06,–,–,–,–,–
07,3,136,177.8,–,–
08,3,70,202.4,18,7.3
09,3,17,33.2,–,–
10,1,26,74.2,–,–
11,4,37,56.3,–,–
12,1,3,5.5,–,–
