district_name,measures,volume,usage_area,apartments,living_area
Mitte,–,–,–,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,3,31,44.7,–,–
Charlottenburg-Wilmersdorf,1,0,0.8,–,–
Spandau,–,–,–,–,–
Steglitz-Zehlendorf,2,26,44.7,2,9.3
Tempelhof-Schöneberg,2,132,232.8,–,–
Neukölln,1,1,3,–,–
Treptow-Köpenick,–,–,–,–,–
Marzahn-Hellersdorf,1,12,17.9,–,–
Lichtenberg,–,–,–,–,–
Reinickendorf,–,–,–,–,–
