district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,6,127.6,41,31.4,25569
Friedrichshain-Kreuzberg,4,-42.6,90,58.4,10702
Pankow,28,69.5,154,108.3,47892
Charlottenburg-Wilmersdorf,14,32.1,139,112.7,48316
Spandau,7,5.1,131,76.5,20514
Steglitz-Zehlendorf,32,56.9,55,67.6,24847
Tempelhof-Schöneberg,30,320.8,54,35.9,118034
Neukölln,7,5.7,90,42.9,11026
Treptow-Köpenick,3,1.3,14,6.8,1788
Marzahn-Hellersdorf,15,33.1,55,38.7,30595
Lichtenberg,5,-11.1,78,31.1,8537
Reinickendorf,13,1.5,15,15.9,6363
