district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,7,5.2,15,7.9,6477
Friedrichshain-Kreuzberg,4,"– 5,6",20,14,4745
Pankow,5,"– 0,5",11,11.4,5103
Charlottenburg-Wilmersdorf,4,"– 3,4",2,8.7,2151
Spandau,4,"– 2,7",13,8.2,3003
Steglitz-Zehlendorf,7,"– 4,9",5,6.1,1875
Tempelhof-Schöneberg,4,"– 1,3",5,4.4,2558
Neukölln,10,9.1,14,14.2,5888
Treptow-Köpenick,1,"– 0,4",–,0.8,400
Marzahn-Hellersdorf,2,4.7,–,0.2,1084
Lichtenberg,1,2.2,– 1,"– 2,2",29
Reinickendorf,7,3.2,7,5.3,3192
