district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,38,–,91,70.2,18835
Friedrichshain-Kreuzberg,1,5,1,9,8.9,3416
Pankow,28,14,0.6,28,36.1,6958
Charlottenburg-Wilmersdorf,5,37,8.8,220,80.6,17721
Spandau,11,32,0.7,111,78.0,21387
Steglitz-Zehlendorf,6,16,1.4,16,25.7,8151
Tempelhof-Schöneberg,4,3,1.1,11,7.5,2715
Neukölln,2,10,6.1,40,22.2,8592
Treptow-Köpenick,7,12,7.2,43,23.6,5509
Marzahn-Hellersdorf,6,3,2,6,7.1,1915
Lichtenberg,2,1,1.5,2,2.3,290
Reinickendorf,15,22,8.3,53,44.0,13794
