id,measures,volume,usage_area,apartments,living_area
01,3,208,350.7,–,–
02,–,–,–,–,–
03,1,6,9.5,–,–
04,–,–,–,–,–
05,1,9,35.9,–,–
06,–,–,–,–,–
07,1,1,2,–,–
08,1,27,22.5,–,–
09,–,–,–,–,–
10,3,22,40.5,–,–
11,3,14,24.8,–,–
12,2,18,38,–,–
