id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,3,18,4.1,52,33.5,16796
02,–,–,–,–,–,–
03,15,18,9.8,36,34.9,5335
04,5,30,7.9,94,61.6,20481
05,14,51,3.9,120,107.8,24988
06,11,50,21.1,72,90.1,38955
07,6,5,3.2,9,8.9,2109
08,5,44,5.1,168,92.5,22038
09,19,48,15.5,127,73.1,30467
10,8,40,33.5,175,102.8,29582
11,3,2,0.1,3,4.3,418
12,5,5,2.7,6,8.8,2270
