district_id,buildings,volume,usage_area,apartments,apartments_usage_area,estimated_costs
01,3,18.0,4.1,52.0,33.5,16796.0
02,0,0.0,0.0,0.0,0.0,0.0
03,15,18.0,9.8,36.0,34.9,5335.0
04,5,30.0,7.9,94.0,61.6,20481.0
05,14,51.0,3.9,120.0,107.8,24988.0
06,11,50.0,21.1,72.0,90.1,38955.0
07,6,5.0,3.2,9.0,8.9,2109.0
08,5,44.0,5.1,168.0,92.5,22038.0
09,19,48.0,15.5,127.0,73.1,30467.0
10,8,40.0,33.5,175.0,102.8,29582.0
11,3,2.0,0.1,3.0,4.3,418.0
12,5,5.0,2.7,6.0,8.8,2270.0
