district_id,buildings,volume,usage_area,apartments,apartments_usage_area,estimated_costs
01,0,0.0,0.0,0.0,0.0,0.0
02,0,0.0,0.0,0.0,0.0,0.0
03,13,7.0,0.9,13.0,16.8,2727.0
04,1,1.0,0.6,1.0,3.5,1450.0
05,9,7.0,3.9,10.0,13.7,2873.0
06,5,24.0,17.6,7.0,26.5,18455.0
07,5,3.0,1.4,5.0,5.7,1353.0
08,1,3.0,1.7,1.0,3.0,1190.0
09,15,11.0,2.9,16.0,20.9,5419.0
10,7,4.0,0.6,8.0,9.2,2403.0
11,3,2.0,0.1,3.0,4.3,418.0
12,5,5.0,2.7,6.0,8.8,2270.0
