district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,8,6.7,13,11.6,3131
Friedrichshain-Kreuzberg,3,20,4.3,54,34.3,7740
Pankow,16,53,13,164,106.6,37533
Charlottenburg-Wilmersdorf,2,28,3.5,32,43.1,17982
Spandau,1,1,–,1,1.5,351
Steglitz-Zehlendorf,4,11,5.1,13,16.1,3891
Tempelhof-Schöneberg,3,3,0.1,9,7.3,2405
Neukölln,2,2,1.1,4,3.3,645
Treptow-Köpenick,14,90,35.9,232,204.5,52176
Marzahn-Hellersdorf,9,58,5.4,228,117.3,22975
Lichtenberg,6,4,0.4,8,9.5,2232
Reinickendorf,5,9,1.6,25,19.9,4572
