id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,3,19,10.1,66,35.0,9123
02,1,8,1.4,10,13.6,3427
03,21,60,17.4,136,120.8,21751
04,6,43,11.2,148,80.4,23055
05,4,3,0.7,7,8.5,1728
06,5,12,6.1,9,18.9,4715
07,3,4,1.6,5,7.9,1394
08,7,14,2.0,30,29.2,5968
09,15,75,9.8,516,141.4,28595
10,50,104,74.6,206,182.8,48613
11,13,152,73.5,349,245.1,61043
,24,22,13.2,30,41.9,11481
