district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,8,18.1,71,55.4,17225
Friedrichshain-Kreuzberg,10,–,123,104.5,27959
Pankow,33,116.9,99,94.7,59126
Charlottenburg-Wilmersdorf,6,11.9,86,52.2,20926
Spandau,34,-39.4,171,120.3,41259
Steglitz-Zehlendorf,17,13.5,59,48.9,14420
Tempelhof-Schöneberg,22,-4.9,206,93.3,18715
Neukölln,15,1.7,18,23.0,5539
Treptow-Köpenick,34,24.5,38,51.2,20289
Marzahn-Hellersdorf,34,38.6,415,199.7,64308
Lichtenberg,4,3.2,47,27.9,6118
Reinickendorf,21,188.9,23,20.6,31159
