district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,7,11.5,8,6.7,3537
Friedrichshain-Kreuzberg,5,2.9,1,3.6,2273
Pankow,18,44.7,35,30.2,42916
Charlottenburg-Wilmersdorf,19,574.0,154,99.7,188259
Spandau,3,220.1,1,0.2,141449
Steglitz-Zehlendorf,17,3.9,53,59.9,17598
Tempelhof-Schöneberg,10,41.6,77,32.2,32092
Neukölln,5,30.7,11,6.8,6631
Treptow-Köpenick,23,228.2,140,135.1,55816
Marzahn-Hellersdorf,16,43.5,10,13.5,14280
Lichtenberg,26,154.1,428,197.4,61626
Reinickendorf,11,7.1,79,66.2,21871
