district_name,measures,volume,usage_area,apartments,living_area
Mitte,1,2,5.8,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,–,–,–,–,–
Charlottenburg-Wilmersdorf,4,281,551.5,–,–
Spandau,2,160,220,–,–
Steglitz-Zehlendorf,1,1,3,–,–
Tempelhof-Schöneberg,3,22,36.4,–,–
Neukölln,1,13,29.1,–,–
Treptow-Köpenick,6,145,202.4,–,–
Marzahn-Hellersdorf,2,37,42.2,–,–
Lichtenberg,4,57,134.9,–,–
Reinickendorf,–,–,–,–,–
