district_id,buildings,usage_area,apartments,apartments_usage_area,estimated_costs
01,11,28.9,58.0,41.1,43990.0
02,3,-1.7,7.0,4.0,1065.0
03,29,49.2,81.0,70.2,27985.0
04,26,16.7,296.0,252.9,88494.0
05,8,-1.3,37.0,26.9,6702.0
06,16,17.6,1.0,8.9,10305.0
07,21,320.8,95.0,80.5,96783.0
08,13,-5.5,46.0,39.7,13708.0
09,27,89.5,84.0,52.4,28058.0
10,15,85.9,164.0,69.1,18995.0
11,17,372.5,93.0,54.6,79856.0
12,13,3.5,7.0,9.5,3659.0
