district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,7,11.5,26,28.1,13557
Friedrichshain-Kreuzberg,7,-4.4,20,15.6,10378
Pankow,9,7.1,8,10.8,11122
Charlottenburg-Wilmersdorf,10,5.7,12,18.5,28345
Spandau,1,–,–,0.1,6
Steglitz-Zehlendorf,16,-5.3,1,19.9,7218
Tempelhof-Schöneberg,10,-2.6,8,10.5,4041
Neukölln,7,0.1,7,7.3,1586
Treptow-Köpenick,10,3.2,8,4.7,16932
Marzahn-Hellersdorf,2,–,–,0.5,148
Lichtenberg,4,-5,6,5.1,945
Reinickendorf,12,46.9,8,9.4,11769
