district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,3,39,7.2,106,63.1,22071
Friedrichshain-Kreuzberg,3,29,10.5,69,53.0,16234
Pankow,24,68,31.8,142,122.4,27713
Charlottenburg-Wilmersdorf,1,6,3.0,6,12.3,3660
Spandau,2,4,1.0,9,8.1,1417
Steglitz-Zehlendorf,18,28,5.4,62,62.0,13423
Tempelhof-Schöneberg,28,64,26.9,161,126.3,32679
Neukölln,15,66,28.7,190,115.9,26648
Treptow-Köpenick,34,220,62.6,672,468.9,87378
Marzahn-Hellersdorf,27,56,16.2,191,126.6,32298
Lichtenberg,3,23,5.3,204,41.0,15278
Reinickendorf,13,39,26.4,126,100.6,17304
