district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,11,53.9,132,91.2,42176
Friedrichshain-Kreuzberg,13,585.4,190,128.2,250503
Pankow,35,84.8,150,133.2,55999
Charlottenburg-Wilmersdorf,17,257.2,18,30.9,99399
Spandau,15,700.1,9,8.2,166716
Steglitz-Zehlendorf,37,78.3,63,81.9,45869
Tempelhof-Schöneberg,40,237.2,169,136.7,109185
Neukölln,24,157.1,197,123.2,49276
Treptow-Köpenick,48,345.5,680,473.6,169236
Marzahn-Hellersdorf,30,68.9,191,127.1,60798
Lichtenberg,10,120.7,210,46.1,47271
Reinickendorf,27,182.2,134,110.0,40411
