year_month,building_permits_total,building_permits_residential_buildings,building_permits_non_residential_buildings,building_measure_on_existing_buildings,usage_area,living_area,apartments,apartment_rooms,estimated_costs
2013,3864,2280,271,1313,6020.0,11971.5,12518,42808,3029483
2014,4397,2708,240,1449,6815.6,16768.8,19199,59070,3744711
2015,4420,2590,296,1534,6413.6,17308.9,22365,63107,3572915
2016,4378,2640,305,1433,11367.1,17816.5,25052,67792,4431710
2017,4419,2660,274,1485,8743.8,17964.1,24743,66732,4494159
2018,3815,2221,256,1338,12572.8,17248.1,24218,62726,5426268
2019,3825,2127,298,1400,13238.9,15241.7,22524,58643,5836461
2020,3439,1954,260,1225,12463.7,13730.8,20459,53555,5591741
2021,3665,2150,288,1227,11141.1,13512.8,18716,51292,5877049
2022,3074,1724,245,1105,12511.9,11336.6,16968,43136,5934032
2021 Januar,282,164,24,94,711.2,1205.2,1662,4521,491322
Februar,223,118,20,85,501.4,789.6,1094,2970,272611
März,328,202,18,108,1099.2,1336.5,1807,5091,551223
April,280,180,18,82,777.6,1001.7,1364,3798,469606
Mai,376,265,19,92,743.1,1476.9,2010,5793,425112
Juni,339,194,19,126,554.4,834.2,1211,3331,318065
Juli,304,164,25,115,1530.5,1208.6,1736,4606,790268
August,248,138,24,86,878.2,751.2,1097,2889,484084
September,355,208,25,122,1059.1,880.2,963,3194,422723
Oktober,305,169,27,109,500.4,1137.0,1297,4163,339124
November,324,165,44,115,1670.5,1284.4,1828,4851,629693
Dezember,304,185,25,94,1117.0,1611.7,2663,6082,664251
2022 Januar,232,107,11,114,628.8,603.4,767,2218,347989
Februar,241,149,15,77,687.7,760.7,1114,3111,361196
März,276,180,23,73,1375.6,835.4,1321,3328,642162
April,227,130,25,72,1319.3,932.0,1511,3654,454217
Mai,301,152,19,130,543.0,1098.1,1655,4043,388190
Juni,284,150,28,106,1518.0,1457.1,1908,5232,700672
Juli,224,123,11,90,637.2,835.0,1210,3294,278028
August,256,146,18,92,879.2,933.2,1297,3507,434256
September,249,132,17,100,591.3,772.1,1030,2745,362285
Oktober,238,149,14,75,373.0,891.6,1356,3275,327043
November,245,138,23,84,1028.0,879.4,1853,3451,545296
Dezember,307,171,41,95,2871.3,1490.2,2143,5735,1136839
