id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,–,–,–,–,–,–
03,50,23,5.3,50,53.6,8525
04,1,2,–,1,3.7,1297
05,8,7,3.5,8,13.6,2713
06,6,7,6.5,6,12.7,2853
07,22,24,7.4,22,43.9,6832
08,2,1,0.6,2,3.9,768
09,20,16,10.7,20,29.2,6925
10,16,13,3.9,20,23.8,5018
11,4,3,0.8,4,5.2,1171
12,8,7,2.5,8,14.3,2946
