id,measures,usage_area,apartments,living_area,estimated_costs
01,6,3.8,34,19.1,7238
02,9,243.9,–,10.3,99499
03,63,240.7,144,121.5,113386
04,13,236.7,63,53.9,62177
05,19,39.5,337,86.2,20965
06,17,56.7,13,22.8,78085
07,35,128.9,41,63.6,46030
08,3,0.6,13,4.2,2177
09,53,85.2,371,247.0,72018
10,27,95.3,123,102.5,22046
11,12,233.5,109,70.9,103477
12,19,10.8,73,33.5,15064
