id,measures,usage_area,apartments,living_area,estimated_costs
01,4,3.4,9,0.5,2775
02,7,1.2,–,10.3,3934
03,4,-2,6,3.6,875
04,10,0.3,7,22.0,10304
05,5,-23.3,–,1.5,723
06,7,28.7,-1,3.2,63082
07,7,-0.8,1,4.8,1162
08,1,–,11,0.3,1409
09,11,-6.1,-3,11.3,8875
10,4,–,–,2.0,481
11,3,-23.5,3,1.8,1013
12,10,-10.7,65,19.3,5818
