id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,–,–,–,–,–,–
03,28,14,0.6,28,36.1,6958
04,–,–,–,–,–,–
05,6,3,0.7,6,6.5,1307
06,5,5,1.4,6,11.3,3885
07,3,2,0.2,3,3.7,780
08,–,–,–,–,–,–
09,4,3,1.6,5,6.3,1501
10,6,3,2,6,7.1,1915
11,2,1,1.5,2,2.3,290
12,11,9,1.1,13,14.4,4762
