id,measures,usage_area,apartments,living_area,estimated_costs
01,7,5.2,15,7.9,6477
02,4,"– 5,6",20,14,4745
03,5,"– 0,5",11,11.4,5103
04,4,"– 3,4",2,8.7,2151
05,4,"– 2,7",13,8.2,3003
06,7,"– 4,9",5,6.1,1875
07,4,"– 1,3",5,4.4,2558
08,10,9.1,14,14.2,5888
09,1,"– 0,4",–,0.8,400
10,2,4.7,–,0.2,1084
11,1,2.2,– 1,"– 2,2",29
12,7,3.2,7,5.3,3192
