id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,1,38,–,91,70.2,18835
02,1,5,1,9,8.9,3416
03,28,14,0.6,28,36.1,6958
04,5,37,8.8,220,80.6,17721
05,11,32,0.7,111,78.0,21387
06,6,16,1.4,16,25.7,8151
07,4,3,1.1,11,7.5,2715
08,2,10,6.1,40,22.2,8592
09,7,12,7.2,43,23.6,5509
10,6,3,2,6,7.1,1915
11,2,1,1.5,2,2.3,290
12,15,22,8.3,53,44.0,13794
