district_name,measures,volume,usage_area,apartments,living_area
Mitte,1,19,38.1,12,6.1
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,2,25,35.1,–,–
Charlottenburg-Wilmersdorf,2,32,62.8,–,–
Spandau,2,34,52.1,–,–
Steglitz-Zehlendorf,–,–,–,–,–
Tempelhof-Schöneberg,2,12,20.7,–,–
Neukölln,2,14,38.8,1,1
Treptow-Köpenick,6,69,99.8,–,–
Marzahn-Hellersdorf,1,8,14.1,–,–
Lichtenberg,3,12,22.1,–,–
Reinickendorf,1,16,16.4,–,–
