district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,4,0.2,13,1.9,2896
Friedrichshain-Kreuzberg,6,11.8,3,4.5,36500
Pankow,12,"– 26,5",7,8.1,5010
Charlottenburg-Wilmersdorf,7,"– 1,7",20,14.5,3310
Spandau,4,"– 0,9",21,1.7,1897
Steglitz-Zehlendorf,4,"– 1,8",3,5.1,1681
Tempelhof-Schöneberg,3,"– 2,5",3,4,455
Neukölln,1,4.2,– 2,"– 2,1",737
Treptow-Köpenick,7,1,–,1.5,12882
Marzahn-Hellersdorf,4,7.8,–,0.4,3585
Lichtenberg,4,10.6,5,4.4,2734
Reinickendorf,9,"– 0,4",4,4,1342
