district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,9,38.3,102,59,33134
Friedrichshain-Kreuzberg,9,13,47,45.8,47477
Pankow,36,11.7,79,71.1,35801
Charlottenburg-Wilmersdorf,14,78.1,168,104.4,50705
Spandau,19,55.5,227,189,48393
Steglitz-Zehlendorf,5,"– 1,1",4,6.1,1881
Tempelhof-Schöneberg,5,18.2,3,4,12158
Neukölln,3,43,– 1,"– 1,1",3710
Treptow-Köpenick,24,104.1,31,31.1,55050
Marzahn-Hellersdorf,11,22.9,16,18.4,14540
Lichtenberg,10,35,43,26.2,18407
Reinickendorf,15,17.8,10,13.1,11518
