id,measures,usage_area,apartments,living_area,estimated_costs
01,12,21.3,28,16.8,85609
02,17,"– 9,0",56,47.1,22273
03,9,"– 2,7",7,9.3,3766
04,12,"– 4,8",29,27,13512
05,3,1.4,7,4.9,2729
06,4,0.3,1,1.5,2138
07,3,"– 2,0",5,3.4,11154
08,8,2.9,14,4.3,5446
09,–,–,–,–,–
10,5,"– 0,1",1,2.4,884
11,2,–,–,0.7,567
,49,12.2,2,16.9,14505
