id,measures,volume,usage_area,apartments,living_area
01,1,18,23.4,–,–
02,–,–,–,–,–
03,1,22,41.1,–,–
04,1,5,9.7,–,–
05,2,56,64,–,–
06,–,–,–,–,–
07,–,–,–,–,–
08,1,18,10.8,–,–
09,2,10,8.7,–,–
10,1,1,2.5,–,–
11,2,7,12.8,11,5.3
12,–,–,–,–,–
