id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,4,27,3.8,83,47.3,18363
02,1,2,1.6,5,3.8,476
03,19,35,4.9,91,67.7,19105
04,1,2,2.6,1,2.6,1090
05,5,9,6.4,28,21.4,5036
06,7,16,4.7,20,27.4,8177
07,8,38,8.7,100,74.5,16689
08,13,26,12.9,45,41.1,11695
09,22,52,10.3,139,102.0,25497
10,42,35,14.6,65,67.8,14638
11,11,76,29.6,306,130.4,36379
,16,51,15.0,147,102.8,20864
