id,measures,volume,usage_area,apartments,living_area
01,2,18,23.8,–,–
02,–,–,–,–,–
03,1,62,86.7,–,–
04,–,–,–,–,–
05,2,20,17.6,–,–
06,–,–,–,–,–
07,1,0,0.4,–,–
08,4,92,183.1,–,–
09,1,2,4,–,–
10,3,60,99.4,–,–
11,1,21,24.8,–,–
,–,–,–,–,–
