district_name,measures,volume,usage_area,apartments,living_area
Mitte,2,49,45,50,33
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,1,69,132.8,–,–
Charlottenburg-Wilmersdorf,3,43,100.4,–,–
Spandau,–,–,–,–,–
Steglitz-Zehlendorf,–,–,–,–,–
Tempelhof-Schöneberg,1,12,22.6,–,–
Neukölln,–,–,–,–,–
Treptow-Köpenick,–,–,–,–,–
Marzahn-Hellersdorf,2,12,21.1,–,–
Lichtenberg,2,23,42.2,–,–
Reinickendorf,–,–,–,–,–
