district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,3,22,6.7,37,40.3,13998
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,13,26,5.2,42,42.9,10733
Charlottenburg-Wilmersdorf,3,12,4.2,70,22.9,5572
Spandau,9,23,8.6,63,50.8,11334
Steglitz-Zehlendorf,5,10,6.8,22,16.5,5152
Tempelhof-Schöneberg,4,27,11.3,87,54.4,12196
Neukölln,6,6,3.7,7,7.7,2348
Treptow-Köpenick,17,20,8.5,37,40.5,8771
Marzahn-Hellersdorf,23,19,7.5,35,38.6,8846
Lichtenberg,4,5,0.9,21,10.2,2069
Reinickendorf,20,62,27.2,181,113.3,25754
