district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,14,56.4,96,81.2,37981
Friedrichshain-Kreuzberg,11,4.4,15,16.5,24111
Pankow,25,140.9,49,51.4,51723
Charlottenburg-Wilmersdorf,22,155.2,118,68.8,82515
Spandau,17,-30.3,62,53.8,14271
Steglitz-Zehlendorf,18,8.3,26,23.5,7945
Tempelhof-Schöneberg,21,88.2,111,83.9,29301
Neukölln,8,3.8,10,11.1,3159
Treptow-Köpenick,26,84,43,46.7,32469
Marzahn-Hellersdorf,35,39,35,40.2,18350
Lichtenberg,7,47,21,10.2,19106
Reinickendorf,28,32,181,116.2,27058
