id,measures,usage_area,apartments,living_area,estimated_costs
01,6,"– 0,3",12,13.7,3508
02,1,–,3,2.1,1465
03,7,7.3,8,11.3,5559
04,7,"– 0,1",27,24.7,11089
05,3,"– 1,0",1,2.5,913
06,5,7.5,4,1.3,7270
07,5,"– 18,5",3,3.9,55686
08,18,8.3,12,13,4834
09,5,2.3,9,1,3119
10,6,0.4,1,2.2,444
11,–,–,–,–,–
12,10,0.9,–,5.6,2081
