district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,13,354.4,90,56.8,114737
Friedrichshain-Kreuzberg,7,3.2,11,11.3,3517
Pankow,30,28.0,101,74.4,32138
Charlottenburg-Wilmersdorf,8,1.4,15,17.8,5696
Spandau,11,36.4,61,49.1,13386
Steglitz-Zehlendorf,16,-13.2,52,52.8,14628
Tempelhof-Schöneberg,12,9.3,104,78.7,18398
Neukölln,20,34.4,55,52.5,17775
Treptow-Köpenick,29,10.5,144,106.0,26525
Marzahn-Hellersdorf,51,57.6,67,71.1,32380
Lichtenberg,16,114.9,258,77.8,49439
Reinickendorf,28,50.8,156,112.4,32577
