district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,2,8,0.4,25,18.7,4463
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,54,56,15.4,138,117.9,22910
Charlottenburg-Wilmersdorf,2,17,1.6,56,31.9,7297
Spandau,12,46,20.9,337,84.7,18783
Steglitz-Zehlendorf,8,11,9.6,14,19.6,4594
Tempelhof-Schöneberg,24,31,9.2,40,58.7,9638
Neukölln,2,1,0.6,2,3.9,768
Treptow-Köpenick,41,114,45.4,374,235.8,50333
Marzahn-Hellersdorf,20,48,16.4,123,100.5,18377
Lichtenberg,7,38,19.3,106,69.1,18468
Reinickendorf,8,7,2.5,8,14.3,2946
