district_name,measures,volume,usage_area,apartments,living_area
Mitte,–,–,–,–,–
Friedrichshain-Kreuzberg,2,129,242.7,–,–
Pankow,5,164,227.3,–,–
Charlottenburg-Wilmersdorf,1,132,234.8,–,–
Spandau,2,38,42,–,–
Steglitz-Zehlendorf,2,12,18.4,–,–
Tempelhof-Schöneberg,4,66,120.5,–,–
Neukölln,–,–,–,–,–
Treptow-Köpenick,1,23,45.9,–,–
Marzahn-Hellersdorf,3,26,78.9,–,–
Lichtenberg,2,168,237.8,–,–
Reinickendorf,1,11,19,–,–
