district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,6,3.8,34,19.1,7238
Friedrichshain-Kreuzberg,9,243.9,–,10.3,99499
Pankow,63,240.7,144,121.5,113386
Charlottenburg-Wilmersdorf,13,236.7,63,53.9,62177
Spandau,19,39.5,337,86.2,20965
Steglitz-Zehlendorf,17,56.7,13,22.8,78085
Tempelhof-Schöneberg,35,128.9,41,63.6,46030
Neukölln,3,0.6,13,4.2,2177
Treptow-Köpenick,53,85.2,371,247.0,72018
Marzahn-Hellersdorf,27,95.3,123,102.5,22046
Lichtenberg,12,233.5,109,70.9,103477
Reinickendorf,19,10.8,73,33.5,15064
