district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,9,4.2,40,30.9,14602
Friedrichshain-Kreuzberg,12,3.9,22,19.0,33862
Pankow,55,42.5,269,192.4,52905
Charlottenburg-Wilmersdorf,12,43.7,20,16.1,27773
Spandau,13,45.1,47,35.6,19319
Steglitz-Zehlendorf,18,0,20,23.7,6787
Tempelhof-Schöneberg,9,"– 2,6",12,9.7,4239
Neukölln,11,100.1,13,12.9,31461
Treptow-Köpenick,16,7,18,16.1,5800
Marzahn-Hellersdorf,23,141,214,87.8,81432
Lichtenberg,26,101.5,308,198.4,609387
Reinickendorf,11,45.9,7,13.8,10509
