id,measures,volume,usage_area,apartments,living_area
01,1,19,38.1,12,6.1
02,–,–,–,–,–
03,2,25,35.1,–,–
04,2,32,62.8,–,–
05,2,34,52.1,–,–
06,–,–,–,–,–
07,2,12,20.7,–,–
08,2,14,38.8,1,1
09,6,69,99.8,–,–
10,1,8,14.1,–,–
11,3,12,22.1,–,–
12,1,16,16.4,–,–
