id,measures,usage_area,apartments,living_area,estimated_costs
01,7,27.2,97,26.7,10212
02,9,13.8,75,39.4,35898
03,25,5.2,73,62.6,17054
04,5,"– 1,1",14,15.3,4626
05,14,90.5,76,25.9,49855
06,6,8.1,18,20.1,5579
07,17,28.5,116,85.1,69139
08,10,3.5,5,6.8,26487
09,5,10.8,108,30.3,10571
10,13,64.2,40,40.1,14669
11,6,284.2,3,1.7,78641
12,11,20.9,20,17.5,14340
