district_id,buildings,volume,usage_area,apartments,apartments_usage_area,estimated_costs
01,0,0.0,0.0,0.0,0.0,0.0
02,1,3.0,1.1,10.0,7.1,1904.0
03,31,173.0,101.6,489.0,322.8,58290.0
04,2,4.0,2.3,8.0,7.0,3009.0
05,5,37.0,22.5,78.0,60.9,18574.0
06,8,18.0,11.5,37.0,27.9,10407.0
07,3,3.0,2.8,3.0,3.6,1348.0
08,10,11.0,5.4,13.0,21.3,5275.0
09,32,85.0,13.9,230.0,168.0,32470.0
10,22,17.0,6.6,25.0,33.9,7830.0
11,18,54.0,13.3,254.0,103.1,17794.0
12,14,35.0,12.7,41.0,55.8,14595.0
