district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,18,101.7,94,50.8,118070
Friedrichshain-Kreuzberg,20,24.7,76,66.8,37388
Pankow,26,20.8,89,73.7,28777
Charlottenburg-Wilmersdorf,18,31.4,62,53.3,35006
Spandau,15,29.5,35,32.5,8892
Steglitz-Zehlendorf,7,2,7,18.6,11660
Tempelhof-Schöneberg,7,342.4,8,8.1,182988
Neukölln,21,138.7,107,50.5,61844
Treptow-Köpenick,4,160,4,3.2,201154
Marzahn-Hellersdorf,22,43.5,187,114,39084
Lichtenberg,14,111.4,198,135.7,81917
Reinickendorf,54,14,21,28.8,17797
