district_name,measures,volume,usage_area,apartments,living_area
Mitte,2,42,76.4,–,–
Friedrichshain-Kreuzberg,1,34,31.1,–,–
Pankow,1,7,10.6,–,–
Charlottenburg-Wilmersdorf,3,19,31.2,–,–
Spandau,1,14,23.1,–,–
Steglitz-Zehlendorf,–,–,–,–,–
Tempelhof-Schöneberg,2,253,344.3,–,–
Neukölln,2,67,129.8,–,–
Treptow-Köpenick,2,233,158.9,–,–
Marzahn-Hellersdorf,2,17,39.8,–,–
Lichtenberg,3,55,69.9,–,–
Reinickendorf,–,–,–,–,–
