district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,4,18,4,66,34.1,13313
Friedrichshain-Kreuzberg,2,10,2.6,20,19.8,4561
Pankow,16,31,12.9,82,64.5,20496
Charlottenburg-Wilmersdorf,3,16,5,33,26.3,7805
Spandau,11,13,5.1,28,27.6,5825
Steglitz-Zehlendorf,3,9,1.7,6,17,9522
Tempelhof-Schöneberg,2,2,0,3,4.7,1259
Neukölln,11,22,6,93,46.2,14712
Treptow-Köpenick,2,2,1.1,4,3.2,760
Marzahn-Hellersdorf,15,54,3.8,186,111.6,32635
Lichtenberg,9,76,41.5,198,135,45075
Reinickendorf,5,6,1.8,19,11.9,3292
