district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,6,2.1,6,9.3,2859
Friedrichshain-Kreuzberg,1,3,0.5,9,5,1701
Pankow,14,37,15.8,85,68.2,22905
Charlottenburg-Wilmersdorf,5,31,4.8,77,60.1,14200
Spandau,2,2,0.5,2,3.7,1084
Steglitz-Zehlendorf,2,12,1.6,10,17,5810
Tempelhof-Schöneberg,5,3,1.4,5,4.7,1377
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,34,170,50.4,541,315.5,75096
Marzahn-Hellersdorf,15,54,1.5,156,107.8,28291
Lichtenberg,1,1,0.1,1,1.1,265
Reinickendorf,5,4,3.6,5,8.2,2101
