district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,4,-2.7,26,14.7,11629
Friedrichshain–Kreuzberg,6,-3.8,6,9.0,3207
Pankow,12,2.6,13,13.1,6297
Charlottenburg–Wilmersdorf,11,6.5,15,22.9,5527
Spandau,3,40.7,– 1,1.3,26922
Steglitz–Zehlendorf,9,-29.7,26,34.6,11131
Tempelhof–Schöneberg,6,-0.8,4,5.6,3624
Neukölln,2,0.7,1,1.9,663
Treptow–Köpenick,7,-1.8,1,5.0,1596
Marzahn–Hellersdorf,2,1.7,–,-1.5,63
Lichtenberg,2,-3.6,3,2.3,930
Reinickendorf,5,1.8,1,1.7,2147
